micros,aX,aY,aZ,gX,gY,gZ,
111813926,-30.76,-25.39,996.09,-0.73,0.60,-2.66,
111833932,-37.60,-23.44,1002.93,1.28,-2.26,0.15,
111853940,-41.02,-32.23,1012.70,-0.11,-2.09,1.97,
111873948,-34.18,-34.67,1017.58,-1.83,0.09,-0.78,
111893954,-29.79,-30.27,1011.72,0.23,-2.05,-0.14,
111913966,-44.43,-33.69,1009.28,3.02,-1.79,-1.37,
111933970,-45.90,-28.32,1014.16,1.11,-0.11,2.46,
111953975,-46.88,-34.67,1019.53,-1.95,1.85,1.31,
111973982,-32.71,-36.13,1019.04,-0.76,0.84,3.85,
111993991,-34.18,-35.64,1007.32,-1.40,1.51,-1.24,
112013999,-25.39,-25.39,994.63,0.17,-0.02,-0.09,
112034008,-42.48,-22.46,1001.46,2.11,0.44,-0.44,
112054015,-41.99,-27.34,1011.23,0.96,-0.79,-0.78,
112074023,-42.48,-18.07,1000.00,-2.11,1.47,-0.14,
112094032,-44.43,-30.76,1006.84,-0.29,-0.34,-0.17,
112114044,-38.57,-20.02,1010.25,0.75,-0.69,-1.19,
112134054,-30.76,-33.20,1002.93,-0.46,0.34,0.58,
112154064,-35.16,-36.62,1004.39,-1.18,1.30,-0.32,
112174070,-35.16,-21.97,1003.42,0.50,1.22,-0.09,
112194077,-40.04,-24.41,1017.09,2.06,0.05,-0.40,
112214081,-48.34,-24.41,1007.32,-0.50,0.89,0.12,
112234091,-30.27,-39.55,1017.09,0.93,2.61,-0.76,
112254098,-42.48,-29.30,1000.00,1.95,-3.05,-0.50,
112274104,-43.46,-33.69,1006.84,0.43,2.43,1.30,
112294114,-31.74,-34.18,1017.09,-1.36,-0.27,2.58,
112314125,-31.74,-28.32,1009.77,0.40,-0.72,-0.81,
112334131,-46.88,-26.86,996.58,1.57,-1.24,2.09,
112354139,-31.74,-41.02,1005.37,-0.90,0.69,0.24,
112374149,-53.71,-30.27,995.61,1.54,-0.60,0.05,
112394158,-39.55,-16.11,1016.11,0.26,-0.99,1.02,
112414163,-45.41,-39.55,1012.70,0.67,0.49,-1.31,
112434171,-32.71,-36.62,998.54,-0.32,0.27,-0.29,
112454181,-41.50,-35.16,1003.91,-1.11,-0.12,3.95,
112474187,-39.55,-23.93,1000.49,0.32,0.38,0.60,
112494196,-38.09,-40.53,1009.28,0.47,2.40,0.06,
112514200,-53.22,-28.32,1013.18,-0.44,-0.17,-0.32,
112534207,-30.76,-27.83,1002.44,-0.09,1.07,-0.90,
112554214,-32.71,-12.21,1021.48,-0.52,1.13,-2.79,
112574223,-32.71,-30.27,1015.62,1.36,0.70,-0.43,
112594231,-38.09,-30.76,1007.81,0.32,-0.66,1.25,
112614241,-41.99,-19.04,1023.44,-0.61,0.60,-1.10,
112634248,-40.04,-21.97,1004.88,-0.61,-0.92,0.46,
112654256,-42.97,-20.51,1005.37,1.45,1.15,0.21,
112674263,-41.99,-35.16,1007.32,0.49,-1.07,-0.73,
112694273,-44.92,-25.88,1011.72,0.24,0.87,-0.46,
112714283,-48.83,-32.71,997.07,0.02,-1.07,3.19,
112734290,-38.57,-29.79,1012.70,1.34,2.18,2.53,
112754299,-41.50,-31.74,995.61,-0.69,0.52,-1.65,
