micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
3497638,-85.45,-970.21,-166.02,63.27,-15.98,31.62,10.35,-62.25,73.95,
3517647,22.95,-886.72,-270.51,29.50,72.09,9.21,9.30,-60.00,73.35,
3537654,83.98,-878.91,-495.12,12.15,108.32,-10.55,9.15,-60.60,74.85,
3557659,156.25,-880.37,-210.94,10.24,81.97,5.34,9.30,-60.75,74.70,
3577666,152.34,-958.98,-410.64,-11.54,152.61,9.65,10.20,-61.05,75.15,
3597672,52.25,-996.58,-540.04,-24.58,341.53,8.35,9.45,-60.60,73.50,
3617679,288.09,-894.04,-545.41,-29.50,500.26,-2.14,10.20,-59.85,73.05,
3637684,314.94,-928.71,-84.96,14.78,439.13,124.14,10.05,-60.45,71.55,
3657691,190.92,-958.98,-277.34,-62.46,386.85,68.27,10.50,-59.85,70.65,
3677697,193.36,-915.53,-308.11,-26.24,402.46,43.63,10.95,-60.30,66.90,
3697702,414.06,-916.50,-343.26,-17.44,414.89,48.69,10.20,-60.30,66.60,
3717710,95.70,-928.22,-5.37,-16.27,457.73,66.43,10.20,-58.80,63.75,
3737716,389.16,-920.90,48.34,-11.79,405.24,40.89,9.45,-59.10,63.75,
3757721,558.11,-970.21,-94.73,-47.95,412.60,61.57,8.10,-58.80,61.35,
3777731,403.81,-948.24,74.71,-82.52,500.26,120.18,5.70,-58.65,60.15,
3797737,206.05,-914.06,120.12,-122.09,484.09,124.08,5.70,-58.65,58.05,
3817741,105.96,-1001.95,-163.09,-93.16,368.21,94.99,4.20,-57.30,56.85,
3837747,137.21,-981.93,-32.23,-66.75,394.47,65.11,2.40,-56.25,54.75,
3857756,49.32,-992.68,-96.68,-74.47,413.76,68.29,0.75,-57.15,53.85,
3877763,225.59,-919.43,-118.16,-81.77,454.29,59.25,-2.10,-54.75,53.40,
3897770,165.53,-864.26,-207.52,-82.76,462.53,62.50,-3.45,-53.25,51.60,
3917779,291.50,-927.73,-35.16,3.25,463.54,72.50,-6.90,-54.60,52.80,
3937786,-145.51,-947.75,372.56,-45.54,462.60,99.59,-9.60,-55.65,54.90,
3957796,43.46,-977.54,140.14,-106.75,471.16,95.66,-11.10,-54.60,54.90,
3977803,58.59,-998.05,-359.38,-103.97,401.62,70.12,-12.60,-54.00,56.85,
3997809,249.02,-954.59,-21.97,-19.05,436.32,77.79,-15.90,-53.70,58.20,
4017815,-204.10,-1081.05,-70.31,-25.45,500.26,97.21,-16.50,-54.00,60.30,
4037821,-232.91,-1041.02,-149.90,-42.70,478.03,70.69,-17.25,-55.20,63.45,
4057830,4.88,-1011.72,-185.06,-50.08,446.41,65.86,-19.05,-56.55,66.60,
4077840,104.98,-955.08,103.03,-75.15,465.88,75.82,-19.05,-56.25,68.25,
4097849,-251.95,-1030.27,-226.07,-60.52,397.13,82.35,-19.05,-55.50,69.60,
4117856,-358.40,-1085.94,-687.01,-23.28,361.97,19.50,-18.30,-56.55,73.05,
4137862,-38.09,-999.02,-256.84,16.11,427.01,-3.83,-18.75,-57.00,73.05,
4157872,175.29,-1018.07,-178.22,-4.93,425.08,18.43,-17.10,-55.65,78.15,
4177877,-62.99,-955.08,-22.95,-30.26,333.62,33.79,-16.95,-56.55,79.05,
4197888,-249.02,-1041.02,-225.59,-32.53,333.95,-5.05,-15.60,-56.10,80.85,
4217896,-83.50,-999.02,-252.93,-17.83,309.95,-30.34,-14.25,-56.10,85.80,
4237906,21.97,-969.24,-21.48,-46.32,362.12,-51.68,-15.00,-56.85,85.50,
4257915,64.45,-964.36,-129.39,-37.76,257.97,-34.29,-13.20,-58.65,87.45,
4277920,206.54,-940.92,-182.13,-29.73,292.69,-20.61,-12.45,-57.45,88.50,
4297927,235.84,-907.23,-186.52,-4.09,205.33,-2.63,-12.30,-56.55,88.05,
4317934,244.63,-959.96,-185.06,-30.66,174.95,-11.97,-10.50,-58.50,89.10,
4337942,161.62,-1036.62,-296.88,-25.71,167.60,-34.32,-8.55,-56.40,90.60,
4357952,649.90,-855.96,-32.23,25.63,115.21,-12.99,-9.00,-58.20,89.55,
4377959,71.78,-1038.57,-316.41,11.47,39.40,30.12,-8.70,-57.30,91.80,
4397965,119.14,-1056.15,-69.82,2.02,26.11,5.53,-9.15,-58.05,91.20,
