micros,aX,aY,aZ,gX,gY,gZ,
5669453,35.16,-10.74,-1010.74,1.73,-2.78,4.26,
5689463,37.60,-15.62,-1008.30,1.34,-0.76,-1.25,
5709472,36.62,-10.74,-1007.81,-0.40,0.38,0.52,
5729476,32.71,-16.60,-1016.11,-0.32,-1.05,2.09,
5749480,39.06,3.42,-1015.14,1.15,-4.06,-0.24,
5769485,38.09,-14.16,-1003.42,0.69,-1.15,1.45,
5789493,32.71,-4.39,-1003.91,1.48,-1.08,2.92,
5809503,37.60,4.39,-1021.97,0.67,2.14,1.76,
5829511,32.71,-12.21,-974.61,0.12,-4.69,-1.18,
5849517,38.09,-2.93,-1011.72,1.68,0.05,1.18,
5869522,35.64,-8.79,-1012.21,1.37,-2.81,-0.96,
5889528,31.74,-9.28,-1011.23,1.45,-1.44,-0.84,
5909536,21.48,-15.62,-1016.60,-0.75,-3.10,0.29,
5929541,35.64,-12.21,-1037.11,1.01,-0.02,2.34,
5949545,39.06,-14.65,-1009.28,0.50,-1.63,0.47,
5969556,18.07,-22.46,-1005.86,1.30,2.35,2.49,
5989561,35.16,-9.77,-1018.07,0.35,2.08,0.72,
6009569,41.02,-15.14,-1016.60,2.37,-2.08,2.18,
6029579,29.79,-13.18,-1009.77,-2.56,-0.85,0.03,
6049587,37.60,-18.55,-1025.39,-0.46,-0.72,-1.47,
6069596,27.83,-5.37,-999.02,-0.02,-3.77,0.40,
6089604,34.18,-14.65,-1016.11,1.98,1.47,2.49,
6109614,40.04,-1.46,-1019.53,-0.78,0.35,1.63,
6129619,39.06,-11.23,-1011.23,-0.23,2.27,2.99,
6149628,29.79,-5.37,-1012.70,0.81,-0.76,0.37,
6169632,24.90,-5.86,-1011.72,1.51,-1.05,1.13,
6189642,40.04,-16.11,-1021.48,-2.23,2.79,-0.76,
6209650,21.97,-14.65,-1011.72,-0.06,0.73,-2.37,
6229658,40.04,-8.79,-1009.28,2.90,-0.17,2.41,
6249669,43.95,-9.77,-1018.07,-0.44,-3.02,0.72,
6269678,40.53,-2.44,-1006.84,-0.53,0.05,-0.89,
6289687,21.48,-17.09,-1007.32,-0.82,0.05,0.09,
6309696,25.39,-3.42,-1016.60,0.95,1.31,1.63,
6329702,32.23,3.42,-999.02,1.97,-2.08,1.54,
6349706,26.37,-15.14,-1009.77,1.37,1.18,1.04,
6369713,43.46,-9.28,-1016.11,2.27,1.08,0.23,
6389724,36.13,-13.67,-1022.95,0.47,-0.58,0.79,
6409733,36.13,-16.60,-1009.77,-0.61,1.19,1.95,
6429738,26.37,-6.35,-1025.39,-1.73,2.72,0.03,
6449747,35.64,-17.09,-1017.09,-2.43,-3.73,0.40,
6469757,36.13,-5.86,-1006.35,-0.38,-0.03,-1.59,
6489764,17.09,-10.25,-1015.14,-1.25,1.47,-1.16,
6509771,37.11,-6.84,-1019.04,-2.64,-0.40,-3.59,
6529779,38.57,-21.97,-1005.37,-2.24,1.85,-0.95,
6549786,19.53,-21.48,-1015.62,1.05,0.06,2.32,
6569795,31.25,-14.16,-1012.70,-1.08,-0.73,1.54,
