micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
3304441,562.50,766.60,-250.00,2.09,-3.13,-1.02,-30.75,39.75,61.65,
3324447,556.64,758.79,-260.25,2.47,-1.30,1.15,-31.65,38.10,64.20,
3344459,567.38,767.58,-268.55,-0.44,-1.18,0.41,-29.25,40.50,63.00,
3364470,564.45,766.60,-258.79,1.31,-1.16,0.03,-30.00,38.25,64.05,
3384479,559.57,771.00,-253.42,-0.31,1.18,-0.98,-30.60,39.60,62.25,
3404489,569.82,764.65,-248.05,-1.05,0.31,2.61,-30.60,39.60,63.60,
3424493,551.27,772.95,-251.46,0.53,1.62,0.29,-29.25,39.00,63.00,
3444505,551.27,771.48,-247.07,1.92,0.09,1.86,-30.15,39.60,62.25,
3464511,565.92,769.53,-262.21,2.49,0.11,-1.02,-31.35,39.00,64.05,
3484520,561.52,756.35,-253.91,-0.40,0.41,-1.05,-29.70,39.45,62.70,
3504531,564.94,783.69,-256.35,0.20,1.16,-2.00,-30.90,39.60,63.60,
3524539,555.18,752.93,-253.91,-3.42,-0.92,0.58,-29.10,38.55,62.25,
3544548,572.75,766.60,-259.77,0.18,0.00,-1.88,-30.00,38.25,63.00,
3564555,571.78,752.93,-261.23,-0.21,1.05,0.14,-29.10,39.60,61.80,
3584562,557.62,763.67,-251.46,0.15,2.40,-1.30,-28.65,39.45,62.70,
3604569,559.57,757.81,-263.18,-0.82,0.21,-3.25,-30.00,38.70,62.40,
3624575,560.55,758.30,-253.91,-0.63,1.73,-2.20,-30.90,36.60,63.60,
3644587,563.48,769.04,-253.42,-1.92,3.15,-1.30,-29.55,36.60,64.20,
3664597,570.31,771.00,-257.81,-0.40,1.37,-0.84,-30.60,37.35,63.90,
3684605,564.45,771.00,-250.49,-3.42,3.71,-2.20,-28.80,39.30,62.25,
3704617,560.55,779.30,-264.65,-0.31,1.86,-3.42,-30.60,38.55,63.60,
3724627,562.99,773.44,-259.77,-1.77,1.57,-1.16,-30.90,39.30,62.55,
3744633,569.34,766.60,-258.79,-0.64,2.87,0.00,-30.90,38.85,63.30,
3764640,576.66,763.18,-258.30,-2.76,-1.36,-0.67,-32.10,38.25,64.50,
3784645,549.32,760.25,-248.05,1.73,-1.91,0.44,-31.05,38.25,62.40,
3804651,553.22,757.81,-267.58,-0.08,-1.24,2.72,-30.60,37.80,62.85,
3824658,560.55,776.37,-256.84,2.40,-1.11,0.76,-29.55,39.30,62.85,
3844668,560.55,771.48,-241.21,0.23,-0.67,2.23,-29.70,39.00,61.35,
3864676,570.31,776.37,-256.84,1.77,1.05,-1.53,-29.25,38.70,62.40,
3884686,569.82,775.39,-248.05,1.42,0.67,2.38,-28.95,40.50,61.65,
3904690,569.82,761.72,-262.70,-0.79,-1.82,-2.67,-29.10,39.90,62.85,
3924700,569.34,766.60,-257.81,0.12,0.64,0.14,-30.30,37.95,64.05,
3944707,554.69,760.25,-252.93,1.34,-3.34,1.68,-30.30,39.00,63.00,
3964713,551.76,764.16,-255.37,1.91,-2.06,2.90,-29.55,38.10,63.30,
3984723,563.96,756.84,-255.86,1.11,-1.27,0.46,-28.95,38.25,63.45,
4004733,557.13,770.51,-250.00,2.76,-1.50,3.27,-29.70,39.45,61.95,
4024737,561.04,763.67,-257.32,0.72,1.42,2.24,-30.15,37.80,63.60,
4044747,564.94,769.04,-248.05,1.80,0.37,-0.46,-29.85,38.85,62.55,
4064751,562.01,765.14,-262.70,2.95,-1.22,0.44,-29.70,38.70,62.70,
4084756,554.20,765.14,-257.81,2.03,-0.90,0.84,-30.75,37.65,64.50,
4104761,558.59,774.90,-262.21,0.85,-0.21,1.76,-29.55,36.30,60.75,
4124772,559.08,765.14,-253.91,2.35,-0.23,0.63,-30.00,38.25,62.70,
4144781,565.43,770.02,-264.16,-0.69,3.22,-2.15,-30.30,39.45,62.40,
4164790,560.06,771.97,-257.32,-1.53,3.34,-0.70,-31.95,37.35,64.20,
4184802,569.34,763.67,-257.81,-0.34,2.63,-3.45,-30.60,39.30,63.60,
4204813,565.43,776.37,-259.77,-2.81,3.48,-1.19,-28.95,39.45,63.45,
4224821,582.03,776.37,-252.44,-2.37,0.29,-3.31,-30.60,36.60,64.65,
4244832,569.82,774.90,-251.46,-0.26,1.92,-0.72,-31.05,40.50,62.40,
4264839,567.87,762.70,-250.49,-1.92,1.11,0.12,-29.55,38.55,60.75,
4284846,565.92,780.27,-262.70,-0.05,2.40,-1.01,-30.15,40.65,62.25,
4304857,566.89,776.37,-238.77,1.77,0.63,-1.27,-30.30,40.50,62.70,
4324869,557.13,776.37,-255.86,-0.89,1.91,-0.85,-31.05,39.75,63.45,
4344874,558.11,785.16,-256.35,-1.47,1.18,-1.01,-29.55,38.85,62.55,
4364881,562.01,777.83,-256.84,0.69,0.40,-2.98,-30.00,39.00,62.70,
4384889,577.15,768.07,-251.95,-1.56,2.29,-3.97,-31.95,38.85,64.20,
4404898,560.06,772.95,-271.97,-1.80,1.82,-1.40,-31.95,39.90,62.55,
4424908,564.45,783.20,-268.07,0.18,1.48,-1.91,-30.30,39.75,61.95,
4444919,564.94,767.09,-268.07,2.78,-2.18,-0.02,-29.10,39.60,62.85,
4464931,557.13,777.34,-245.61,1.18,-0.20,0.81,-29.70,40.20,61.95,
4484942,561.52,773.93,-260.25,1.13,0.29,1.85,-30.60,39.90,62.25,
4504949,566.89,765.62,-265.14,0.93,-0.53,0.78,-30.15,38.85,63.90,
4524960,561.04,782.23,-262.70,1.19,-1.74,0.31,-29.85,38.10,62.25,
4544971,561.04,772.46,-268.07,2.17,-2.89,-0.38,-30.75,40.20,64.80,
4564983,574.71,764.65,-260.74,2.05,-0.26,1.44,-30.15,40.65,62.25,
4584988,555.18,775.39,-249.02,2.27,1.50,-1.34,-29.70,38.70,62.40,
4605000,558.11,775.88,-261.23,0.66,0.73,1.02,-30.60,39.90,62.55,
4625010,559.57,770.51,-248.05,1.10,-0.98,1.37,-30.30,39.45,62.70,
4645016,568.85,770.02,-264.65,1.92,-2.08,-0.43,-29.55,39.30,62.25,
4665021,559.57,765.62,-247.56,1.73,0.08,3.48,-28.95,39.45,64.05,
4685028,575.68,769.53,-253.42,1.51,0.72,2.21,-31.05,37.65,64.05,
4705037,566.41,768.07,-262.70,1.48,0.55,3.24,-31.80,37.95,63.75,
4725042,563.48,747.07,-274.90,1.31,-2.00,0.72,-29.55,39.60,61.50,
4745048,560.06,763.18,-256.35,0.92,-3.07,1.85,-30.30,39.00,62.70,
4765056,561.52,771.48,-266.60,-1.68,2.55,-1.13,-29.85,39.90,62.85,
4785063,569.34,766.60,-267.09,-0.69,4.52,-1.50,-30.15,39.60,62.55,
4805071,573.73,770.02,-259.77,-2.56,0.44,-3.71,-30.00,39.00,63.00,
4825077,566.41,769.04,-259.28,-0.95,3.37,-2.49,-30.00,39.00,61.95,
4845082,570.31,781.74,-260.74,-0.69,1.21,-3.37,-29.25,40.95,62.40,
4865088,573.73,775.39,-261.72,-0.27,3.27,-2.11,-29.85,38.85,63.60,
4885094,564.45,764.16,-266.60,-2.21,0.60,0.08,-30.60,38.55,61.80,
4905100,565.43,775.39,-258.30,-2.85,1.63,-1.68,-28.65,38.70,64.05,
4925109,566.41,775.39,-262.21,-1.44,-0.49,-1.56,-29.70,40.20,62.70,
4945117,565.92,766.60,-250.49,-2.18,1.39,-0.37,-30.30,39.45,61.95,
4965128,558.59,758.79,-259.77,-1.36,1.79,-0.81,-30.00,39.45,64.05,
4985136,567.38,782.71,-256.84,-0.87,1.08,-2.67,-30.90,38.85,64.20,
5005145,561.04,783.20,-265.14,-1.68,2.95,0.72,-29.70,39.00,63.45,
5025153,560.06,765.62,-258.79,-0.69,-0.99,-2.15,-30.00,39.45,62.70,
5045161,559.08,759.77,-252.44,0.17,1.85,-2.20,-30.90,39.90,62.55,
5065166,558.11,768.55,-270.51,-1.34,0.64,-1.24,-30.90,38.55,61.50,
5085173,575.20,765.14,-252.44,-0.12,1.97,-2.41,-30.60,38.85,63.30,
5105178,564.94,763.18,-256.84,0.29,0.52,-0.92,-29.70,39.45,62.40,
5125189,564.94,769.04,-266.60,0.41,1.66,-2.72,-28.95,39.75,61.95,
5145194,572.27,760.25,-245.12,-0.56,-0.06,-0.08,-28.95,38.25,63.45,
5165201,560.06,766.11,-268.55,-2.14,-0.17,-1.89,-30.00,38.70,62.40,
5185207,561.52,774.41,-248.54,0.69,-0.72,1.04,-30.30,39.45,61.95,
5205218,556.15,766.60,-257.81,2.73,-0.26,1.04,-31.35,37.95,63.75,
5225222,551.27,773.44,-267.09,-0.08,-0.58,1.24,-30.90,38.10,62.55,
5245232,565.43,779.30,-250.00,1.44,0.31,0.03,-30.30,40.20,62.40,
5265242,561.04,762.70,-269.04,0.40,-2.03,-0.06,-29.70,40.95,62.70,
5285249,562.99,784.18,-257.81,3.40,-2.02,1.47,-32.85,39.00,64.80,
5305256,559.57,777.83,-250.98,1.04,-0.53,0.93,-30.15,38.85,62.25,
5325262,554.69,761.23,-249.51,1.54,-2.61,0.26,-29.25,39.45,63.45,
5345268,556.15,769.04,-260.74,2.09,1.92,2.46,-30.60,39.60,61.80,
5365277,569.34,767.09,-246.09,2.31,0.60,0.84,-30.90,39.30,62.25,
5385287,570.80,756.84,-256.84,0.95,-0.03,-0.61,-30.30,39.45,62.40,
5405293,574.22,766.60,-251.46,0.55,-2.00,-0.41,-29.70,39.45,62.70,
5425298,569.82,773.44,-262.70,0.84,-2.05,-0.60,-31.95,39.90,60.75,
5445308,570.31,763.18,-249.51,1.50,-0.67,1.02,-30.75,38.70,64.05,
5465319,577.64,750.00,-262.70,2.09,-0.55,-0.08,-30.00,39.00,61.95,
5485327,568.36,768.55,-258.79,0.14,-1.76,0.53,-30.15,39.30,62.85,
5505338,556.15,761.72,-250.98,1.33,-2.12,-0.35,-31.05,39.00,61.05,
5525347,557.62,783.69,-258.30,-1.50,1.16,-2.98,-29.10,40.65,62.25,
5545353,561.04,773.44,-255.86,-1.47,1.24,-3.01,-30.30,39.75,62.40,
5565363,569.34,763.67,-264.16,-0.76,0.34,-0.89,-29.70,37.95,63.00,
5585374,559.08,767.09,-255.37,-1.40,1.66,-1.69,-31.65,40.65,62.55,
5605381,555.66,763.18,-247.56,-1.56,0.37,-1.63,-31.65,39.60,62.85,
5625386,567.38,755.86,-261.72,-1.30,-0.52,-1.57,-30.15,39.90,61.20,
5645396,559.08,778.81,-247.56,-1.71,2.75,-4.17,-29.55,38.85,62.55,
5665405,569.82,764.16,-253.91,-0.50,-0.96,-1.48,-29.25,39.75,62.70,
5685413,542.48,769.04,-250.49,-1.85,1.39,-1.51,-29.70,40.50,62.70,
5705419,561.52,769.04,-258.79,-1.18,2.34,-0.76,-31.95,37.05,63.60,
5725424,560.06,772.46,-253.91,0.02,0.27,0.00,-29.55,39.30,61.20,
5745428,574.71,777.83,-254.39,0.73,2.63,-1.24,-31.05,37.95,64.05,
5765437,562.99,764.16,-260.74,-2.15,2.03,-2.95,-30.00,39.00,63.00,
5785443,560.06,767.09,-269.53,-0.99,1.88,-1.24,-30.00,39.00,61.95,
5805450,555.66,781.25,-250.98,-0.70,0.96,-2.79,-30.00,39.75,61.95,
5825460,566.41,771.00,-253.91,0.00,2.56,-1.22,-29.25,38.25,61.35,
5845465,562.50,767.58,-268.07,-0.29,1.65,-1.33,-29.55,39.90,62.55,
5865474,560.55,781.74,-252.93,0.03,3.36,-1.34,-29.10,39.90,62.85,
5885482,562.50,761.23,-256.84,1.69,0.53,1.15,-29.85,39.60,61.80,
5905489,568.36,761.72,-248.05,2.00,-2.18,1.15,-29.55,39.90,62.55,
5925498,555.18,771.97,-259.77,0.55,-2.78,3.48,-31.05,39.75,63.00,
5945503,570.80,765.62,-259.77,0.55,-1.68,1.25,-29.10,39.60,62.85,
5965510,559.08,771.00,-254.39,0.99,-0.95,0.73,-31.05,39.00,62.40,
5985517,570.31,767.09,-254.39,2.63,-0.56,0.53,-30.60,38.85,62.25,
6005523,564.45,763.18,-244.14,1.50,-2.06,0.35,-30.75,39.75,61.65,
6025529,561.52,771.00,-269.53,1.94,-1.62,0.15,-30.30,39.75,63.75,
6045533,566.41,767.09,-260.25,0.05,-2.58,1.71,-29.55,38.55,63.30,
6065540,557.62,767.09,-253.91,0.47,-3.10,0.98,-31.80,38.25,64.50,
6085545,566.89,772.95,-263.67,2.23,-0.41,0.46,-28.80,39.60,62.55,
6105555,567.87,763.18,-256.84,0.99,-0.89,1.05,-31.65,38.10,63.30,
6125559,566.41,769.04,-250.00,2.56,-1.92,1.37,-30.60,38.55,61.80,
6145566,561.52,761.23,-250.98,-0.40,-1.79,0.46,-29.85,38.55,62.55,
6165574,554.69,753.42,-250.49,-0.75,-1.53,0.60,-30.30,38.25,63.00,
6185584,562.99,761.72,-253.42,-0.72,-1.65,2.08,-30.00,39.00,62.40,
6205590,567.38,769.53,-256.84,1.31,-3.57,-0.73,-31.80,38.70,63.45,
6225594,552.73,768.07,-263.18,3.02,0.69,2.27,-30.15,38.85,63.90,
6245601,562.99,764.65,-251.95,-1.18,-2.61,1.33,-31.20,40.35,62.25,
6265609,559.57,773.93,-248.05,3.76,-1.51,-1.34,-29.70,39.75,62.70,
6285620,556.15,769.53,-256.35,-1.19,3.94,-2.66,-28.95,38.25,61.35,
6305625,565.92,779.79,-256.35,-1.36,1.71,-1.88,-28.95,37.65,62.40,
6325631,563.48,758.79,-265.14,-3.25,1.50,-0.18,-29.55,39.30,62.55,
6345640,568.85,757.81,-263.67,-0.93,-0.93,-0.32,-28.35,40.35,62.85,
6365651,570.80,774.90,-254.88,-0.98,0.58,-1.05,-30.15,38.55,63.30,
6385662,559.57,771.00,-256.84,-0.03,2.49,0.20,-31.05,39.45,63.00,
6405674,555.18,768.55,-261.23,-0.72,1.27,-3.11,-29.85,39.30,62.55,
6425684,565.92,769.04,-254.39,0.70,1.89,-0.67,-29.70,38.70,63.00,
6445691,574.71,775.88,-247.56,-1.50,0.50,-0.05,-31.65,40.35,62.25,
6465696,575.20,766.60,-256.84,-1.60,4.31,-1.47,-29.85,38.10,62.55,
6485705,563.96,763.67,-248.54,-0.96,0.17,-2.63,-27.90,39.75,63.00,
6505712,580.08,767.09,-254.88,1.68,0.87,-0.09,-30.75,39.45,64.80,
6525724,563.96,771.97,-263.18,0.64,1.91,-0.38,-29.70,38.25,63.45,
6545733,561.04,780.76,-253.91,-2.61,4.15,-2.03,-30.75,39.45,64.05,
6565740,566.89,783.69,-256.84,-0.03,0.00,-1.97,-30.00,39.75,62.70,
6585747,562.01,757.32,-257.32,0.32,1.44,-2.23,-29.70,38.70,61.65,
6605755,566.41,763.67,-258.79,2.87,-0.18,-0.21,-29.85,38.85,62.55,
6625766,554.69,758.30,-263.18,2.06,-2.63,0.72,-30.15,39.60,61.80,
6645777,568.36,769.53,-246.09,1.25,0.23,-0.37,-30.30,39.75,61.95,
6665782,561.52,770.02,-254.39,0.79,-0.75,0.40,-30.00,37.20,63.75,
6685791,571.29,768.55,-249.51,0.56,-1.10,-0.06,-29.10,38.10,62.55,
6705802,557.62,771.48,-266.11,2.06,-3.04,0.93,-29.85,39.60,63.30,
6725814,566.41,781.25,-260.74,1.16,0.60,-1.76,-30.90,39.60,62.25,
6745823,559.08,779.79,-239.26,2.31,-1.69,0.96,-31.95,39.30,62.55,
6765830,558.59,769.04,-255.37,0.72,-2.15,-0.21,-30.00,39.00,63.45,
6785837,559.08,763.67,-254.88,1.22,-1.28,0.58,-29.85,38.10,62.25,
6805844,562.99,755.86,-268.07,0.44,-2.12,-0.55,-30.30,36.90,64.50,
6825851,562.01,772.95,-261.23,2.70,-1.22,1.79,-29.85,39.90,62.55,
6845861,564.94,776.37,-261.23,2.43,0.37,0.96,-29.25,39.45,62.70,
6865866,568.36,763.67,-263.18,1.05,-1.33,-2.26,-30.60,38.55,62.55,
6885877,562.50,771.48,-256.84,-0.61,-0.66,-1.01,-30.60,39.60,61.80,
6905885,562.50,763.67,-260.74,1.62,-1.80,-0.79,-30.60,39.90,62.25,
