micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
5138268,980.47,18.07,52.73,-0.44,2.15,-0.17,-31.20,-1.50,58.65,
5158277,990.72,-16.11,52.25,-0.55,-0.52,-2.52,-30.60,-1.50,57.75,
5178286,988.77,2.93,122.56,7.86,10.87,-4.75,-30.90,-0.90,58.65,
5198293,998.05,19.04,46.39,8.89,12.63,-3.40,-30.60,-0.45,59.10,
5218301,987.30,-3.91,133.79,0.21,-6.63,-6.08,-30.75,-0.30,57.90,
5238306,984.86,18.07,117.19,-5.79,-12.58,-8.20,-30.90,-1.50,57.75,
5258316,1000.98,33.20,14.65,-1.47,-0.05,-3.71,-31.05,-1.05,58.95,
5278326,987.30,26.37,107.91,-0.90,-5.59,1.44,-30.90,-1.50,58.65,
5298337,1002.44,7.32,47.85,-2.64,-4.64,0.99,-30.60,-1.50,58.05,
5318345,998.05,7.32,45.90,-6.29,3.60,-2.53,-30.75,-2.55,58.20,
5338350,990.72,-12.21,72.75,-7.98,-4.64,-2.56,-31.80,-2.10,58.20,
5358359,1002.44,3.91,58.59,-3.21,2.66,-2.49,-30.00,-1.80,57.45,
5378363,999.02,4.39,57.13,1.59,8.17,-4.15,-31.35,-0.60,57.90,
5398368,992.68,6.35,79.59,0.63,6.89,-3.59,-30.30,-2.10,57.15,
5418377,986.33,9.28,67.38,0.85,4.55,-2.81,-30.60,-1.20,58.35,
5438383,996.09,11.72,86.43,-2.24,2.85,-3.63,-30.30,-1.05,57.45,
5458394,993.65,30.76,66.89,-3.44,-3.66,2.31,-30.15,-1.50,58.05,
5478400,1004.88,-0.98,63.48,-3.08,-3.13,-0.95,-29.25,-2.10,58.50,
5498406,1005.86,-2.93,48.83,-2.35,-0.79,-0.87,-30.30,0.00,57.15,
5518415,1002.93,15.14,67.87,0.37,0.47,-0.55,-30.90,-1.50,57.00,
5538423,1005.37,17.09,56.15,-0.76,-2.84,2.89,-31.05,-1.05,58.20,
5558431,999.51,5.86,71.29,-2.90,-1.37,1.83,-29.70,-1.35,57.90,
5578440,995.61,0.00,48.83,-7.08,-2.85,2.95,-30.60,-2.25,59.70,
5598448,975.10,-3.91,65.92,-0.53,-0.90,-2.27,-30.60,-1.95,57.75,
5618454,1001.95,3.91,66.41,-1.85,1.36,-1.34,-30.30,-1.80,58.95,
5638462,988.77,13.67,46.39,0.24,3.39,-2.49,-30.15,-3.00,58.05,
5658472,995.61,9.28,75.20,3.33,4.63,-1.47,-30.15,-1.95,58.35,
5678482,997.07,17.58,64.94,2.84,4.93,-1.01,-29.70,-2.10,57.15,
5698487,1000.00,17.58,59.08,1.97,6.05,1.39,-29.25,-1.05,58.50,
5718497,998.05,-1.46,76.17,3.80,-0.55,1.82,-30.75,-2.55,58.20,
5738508,998.54,-9.77,72.27,1.89,-3.53,-1.80,-30.30,-2.85,57.45,
5758516,1000.49,15.62,69.82,1.94,-4.73,0.52,-30.00,-2.10,58.20,
5778522,1001.95,-4.39,57.13,2.47,0.84,0.31,-31.35,-2.10,58.20,
5798533,986.82,14.16,104.49,1.79,-1.53,1.47,-30.75,-1.35,57.45,
5818541,986.33,10.74,74.71,2.89,-7.13,-0.47,-31.05,-1.80,57.45,
5838552,1005.86,8.30,87.40,-1.85,-6.05,1.22,-30.90,-1.50,56.70,
5858557,994.63,18.55,50.29,1.50,-3.07,-0.40,-31.80,-1.05,57.90,
5878562,1000.98,-9.77,47.85,2.46,-5.34,-2.73,-30.75,-2.55,57.45,
5898572,995.12,10.25,72.75,1.68,2.06,2.31,-29.85,-2.25,57.30,
5918578,1001.46,33.20,80.57,2.02,-1.25,-0.06,-30.75,0.00,57.15,
5938584,989.26,13.18,65.43,-2.47,-5.34,1.88,-31.35,-1.80,58.20,
5958591,993.65,-10.74,42.48,0.46,-3.34,-1.47,-31.05,-1.05,57.45,
5978601,1002.44,6.84,67.38,-0.78,-0.60,1.79,-30.15,-1.95,57.30,
5998607,990.72,4.88,58.11,0.09,0.20,0.00,-30.15,-1.95,58.35,
6018619,979.49,14.65,70.80,-1.85,-3.07,2.03,-31.05,-2.55,58.95,
6038630,997.07,-1.95,41.99,-1.92,-1.62,2.09,-31.35,-0.60,57.45,
6058639,985.84,8.30,56.15,-1.37,-2.75,2.49,-30.60,-1.20,57.75,
6078645,999.02,7.32,54.20,1.62,-3.36,1.01,-30.60,-1.50,58.05,
6098655,1005.37,1.46,61.04,2.11,-5.01,1.34,-30.75,-1.05,58.20,
6118665,999.02,-4.39,66.89,1.60,-1.50,3.01,-30.30,-1.35,58.20,
6138674,1009.28,5.37,58.59,4.37,-4.12,1.45,-30.60,-2.25,58.05,
6158679,997.56,6.84,44.92,2.46,-3.53,2.58,-28.35,-1.20,58.05,
6178687,997.56,13.18,73.24,0.98,-0.18,3.48,-30.60,-2.25,57.00,
6198692,997.56,2.44,33.20,0.60,-4.89,2.02,-31.05,-2.55,57.90,
6218703,1003.42,0.00,48.83,0.95,-2.09,-1.02,-30.15,-2.25,58.35,
6238714,992.19,0.98,40.04,1.45,-4.14,2.73,-28.95,-2.55,57.45,
6258724,997.56,13.18,56.64,3.18,-1.56,3.22,-29.70,-1.35,57.15,
6278733,998.05,19.53,54.69,1.19,-1.04,1.56,-30.60,-1.50,57.00,
6298742,996.58,-12.70,45.90,3.30,-1.50,0.15,-30.60,-0.90,57.00,
6318753,983.89,9.77,50.78,2.05,-0.37,-0.24,-29.85,-2.25,55.95,
6338764,1000.49,12.70,47.85,6.00,-1.42,-0.37,-30.90,-2.25,57.75,
6358775,998.05,11.23,46.39,2.85,-0.05,-0.67,-31.05,-3.90,57.15,
6378782,990.23,-6.35,55.18,0.21,-3.40,0.27,-30.15,-1.20,57.75,
6398790,991.21,-6.84,54.69,0.87,0.66,1.88,-28.95,-1.35,57.90,
6418796,983.40,2.44,37.11,0.27,-4.58,0.09,-30.30,-1.80,57.90,
6438806,988.28,0.49,59.57,1.56,-0.82,1.33,-29.70,-2.10,57.45,
6458811,999.02,-9.77,57.62,2.05,-1.04,0.06,-29.85,-1.95,57.75,
6478818,1007.32,-17.58,44.43,3.25,-1.34,0.11,-29.25,-1.35,56.85,
6498825,985.35,0.00,56.64,3.71,-1.65,-1.73,-28.95,-2.10,56.85,
6518835,989.75,4.88,70.80,0.21,-3.15,5.13,-30.60,-1.95,57.30,
6538840,998.05,-3.42,32.71,-3.05,-2.43,2.06,-31.65,-2.25,57.30,
6558851,995.61,-0.49,37.11,-0.02,2.64,-0.98,-31.20,-1.50,58.35,
6578857,989.26,-0.98,48.83,1.86,4.84,-3.15,-28.95,-2.55,57.15,
6598865,984.38,13.18,62.01,3.47,-2.00,1.25,-30.30,-1.35,55.50,
6618870,996.58,-1.95,56.64,0.64,-2.27,3.54,-29.70,-2.10,58.20,
6638876,985.84,-8.79,49.80,2.75,-3.89,1.01,-29.10,-2.70,58.05,
6658888,993.65,-8.30,44.92,0.40,-0.46,2.64,-30.60,-1.20,58.35,
6678894,996.58,7.32,52.73,4.20,-4.03,0.67,-30.30,-1.35,56.10,
6698898,1001.95,2.44,42.97,1.08,-1.94,-0.31,-30.90,-2.70,57.00,
6718903,992.68,19.53,53.22,-0.03,-1.13,0.75,-29.10,-2.25,57.00,
6738907,999.02,-1.46,47.85,-1.94,-0.09,-1.76,-30.90,-1.20,57.30,
6758912,990.72,7.32,41.50,-1.80,-0.64,-2.26,-29.10,-2.25,57.75,
6778920,995.12,4.88,50.29,-1.31,-4.75,-1.30,-30.75,-0.60,56.85,
6798929,1008.79,-2.93,14.16,0.53,0.49,-2.70,-29.70,-3.15,57.90,
6818936,987.30,7.81,42.48,1.05,1.02,0.32,-29.85,-1.20,57.00,
6838946,990.23,-4.39,65.92,-1.40,0.66,0.15,-30.90,-1.50,56.70,
6858954,1001.95,6.84,51.27,-1.63,3.68,0.44,-30.60,-1.50,56.25,
6878958,991.70,0.00,46.88,-2.55,1.74,-1.44,-30.60,-1.50,55.65,
6898965,997.56,4.88,43.46,-3.22,0.99,-0.98,-30.30,-3.15,57.15,
6918974,992.68,2.44,50.29,-2.81,0.56,-3.53,-30.30,-2.10,57.15,
6938979,1001.95,-4.39,53.22,-3.63,2.18,-2.44,-29.70,-1.05,57.90,
6958987,990.23,18.55,51.27,-1.10,2.08,-1.91,-30.30,-2.55,57.15,
6978993,992.19,18.55,52.73,-4.08,2.09,-0.15,-31.05,-1.80,56.40,
6999004,996.09,0.98,44.43,-2.35,0.34,1.68,-29.10,-1.95,56.70,
7019010,998.54,8.30,38.09,-7.89,-1.97,2.00,-30.30,-2.10,57.15,
7039018,984.86,6.84,37.60,-5.07,-0.72,1.71,-30.30,-1.80,56.40,
7059025,993.16,6.84,26.86,-3.22,3.60,-2.50,-31.65,-1.50,57.30,
7079030,999.51,-22.46,56.15,-3.60,4.38,-4.72,-28.95,-2.85,56.40,
7099040,1000.98,0.98,35.16,-3.65,2.24,-0.03,-30.90,-3.00,56.70,
7119048,998.05,0.98,42.97,-1.89,0.93,-4.53,-29.70,-2.55,57.45,
7139059,982.42,-2.44,48.83,1.25,0.02,-3.01,-30.30,-1.80,57.45,
7159070,999.51,12.70,48.34,-1.69,2.66,-4.03,-30.00,-2.85,57.90,
7179080,999.02,-4.39,41.99,-2.09,0.55,-5.48,-31.20,-2.25,57.00,
7199088,999.51,14.16,55.18,0.15,1.92,0.11,-31.05,-3.60,58.95,
7219092,994.63,0.98,50.29,-3.04,-0.75,-1.54,-29.70,-1.05,58.20,
7239103,996.58,9.28,47.85,-3.79,-2.56,-1.24,-32.10,-2.55,56.40,
7259113,994.63,0.49,16.60,-2.89,-2.05,0.89,-30.60,-2.25,57.75,
7279123,983.89,7.32,42.48,0.89,3.18,0.27,-30.15,-3.00,57.30,
7299132,1004.88,15.62,45.90,-0.96,1.40,0.05,-30.30,-2.10,58.20,
7319141,983.40,14.16,54.69,-2.90,3.91,-2.32,-29.85,-0.15,56.25,
7339145,989.26,-2.93,45.90,-1.40,-1.89,-0.43,-31.05,-1.80,57.90,
7359152,987.30,5.86,38.09,-2.21,-1.48,0.20,-29.25,-2.10,57.45,
7379159,1003.42,0.98,46.39,0.03,2.38,-1.62,-30.75,-2.85,56.40,
7399167,982.91,3.91,48.34,-0.66,-0.76,-1.54,-30.60,-1.50,57.30,
7419178,994.63,-8.30,38.09,-0.55,0.00,-0.70,-30.30,-1.35,57.45,
7439189,1000.00,0.98,41.50,-3.27,0.44,-4.06,-29.70,-2.55,58.50,
7459198,999.02,-17.09,42.48,-1.86,-1.97,-0.03,-30.00,-1.80,56.40,
7479204,999.02,3.91,41.02,0.20,2.09,-1.45,-29.85,-2.70,56.70,
7499210,994.14,-0.49,56.64,-0.89,-0.95,0.02,-30.90,-0.90,58.05,
7519214,986.82,0.98,43.46,-0.08,0.47,-0.20,-30.15,-1.50,57.75,
7539220,991.70,21.97,43.95,-2.24,2.44,-1.57,-30.15,-1.95,58.35,
7559225,1001.95,2.93,33.69,-2.15,1.37,-3.44,-30.00,-2.10,57.15,
7579236,993.16,-0.98,47.85,-1.54,2.78,-2.00,-30.75,-1.80,56.85,
