micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
3357567,-28.32,-13.67,1021.48,2.98,-5.62,-0.18,23.25,-21.45,104.40,
3377575,-50.29,-11.72,1013.18,-1.42,-3.18,1.69,24.90,-22.05,104.85,
3397580,-13.67,-21.48,1059.08,1.88,-2.38,-0.21,23.70,-21.45,107.10,
3417584,-49.80,-9.77,1028.81,-0.32,0.61,0.38,24.90,-21.30,105.60,
3437594,-37.60,2.93,1052.25,1.88,-1.21,-0.96,24.45,-22.05,105.15,
3457601,-17.58,-23.93,1019.04,-1.33,-1.31,-3.13,24.00,-22.65,106.05,
3477611,-32.71,-32.23,1025.39,4.72,-5.51,-2.35,24.75,-22.20,104.40,
3497618,-24.41,-0.98,1066.41,-0.14,0.64,4.26,24.45,-22.35,104.55,
3517626,-40.53,-22.46,1021.00,-0.12,-2.38,-1.08,25.80,-22.65,105.00,
3537636,-27.34,-21.00,1046.39,3.07,-7.18,1.18,23.85,-22.80,105.90,
3557641,-89.36,-17.09,955.08,2.98,-1.80,0.76,24.00,-21.15,106.05,
3577648,-33.69,-0.98,1053.71,3.19,-2.60,-1.85,24.15,-22.05,104.85,
3597656,-10.25,9.77,1055.18,-3.15,2.27,3.44,26.25,-22.35,104.55,
3617663,-51.76,-6.84,1064.45,2.47,1.11,1.13,25.20,-22.35,106.95,
3637671,-12.21,-31.25,1017.09,3.05,3.19,-1.66,25.20,-21.75,106.20,
3657678,-30.27,-13.18,1046.88,4.46,-2.87,-0.40,24.15,-22.80,103.80,
3677689,-12.70,-10.25,1052.25,0.67,-1.73,-1.77,24.45,-22.05,106.20,
3697699,-31.74,-29.79,963.38,-0.93,1.62,1.42,24.30,-21.45,105.45,
3717704,-41.99,-13.18,1026.86,1.24,-0.18,0.60,25.65,-21.75,104.85,
3737713,-51.27,-18.55,1046.88,2.09,0.41,1.15,23.70,-21.15,106.05,
3757722,-38.57,9.28,1048.34,1.05,-2.70,-1.66,24.30,-22.65,105.75,
3777731,-23.93,-21.00,1011.72,0.17,-4.06,-1.51,23.10,-21.75,105.15,
3797738,-44.43,28.81,1061.04,-3.33,-11.33,1.88,24.15,-21.75,105.15,
3817746,-50.78,-21.97,1015.14,-1.53,0.14,1.71,25.05,-21.90,103.95,
3837756,-77.15,1.95,1004.39,7.74,-0.12,-1.76,25.05,-22.65,103.65,
